date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-12-05,147720487.5037806,90672517.25784576,3497,1576871184.074383,90.22,75407123.0,293674031.25113064,1887.5,0.24282662,7854,187051062295.942,4054,90.2191808024,3.74e-06,1893082,151
2018-12-06,330478755.83085084,199314281.03719756,4182,1505927879.2246118,86.16,194059088.0,326554093.96005267,1787.5,0.36625132,10231,213756147747.786,6132,129.19922219519998,3.79e-06,2589238,143
2018-12-07,949912001.5800487,577870752.5351222,4248,1809285240.780901,103.52,217760983.0,342180001.31649417,1687.5,0.61072391,10515,185450350584.187,37519,517.5970600320001,3.85e-06,3712689,135
2018-12-08,403174489.77273095,250491967.944333,3224,1814032992.2195988,103.79,76137934.0,344725374.82619005,1775.0,0.20002163,7171,178289786443.912,3618,72.64038224970001,3.34e-06,1673900,142
2018-12-09,391724352.36510414,220793265.36657888,3271,1720084747.8226237,98.42,72826742.0,353859679.09629613,1950.0,0.2031694,5468,194879142006.094,2431,12.735475169200003,2.9400000000000002e-06,1578095,156
2018-12-10,331798580.14441264,221468161.43513602,4264,1704304402.1379566,97.37,63688727.00000001,359707918.78360003,1875.0,0.25950368,7524,198178687729.997,3100,0.0,2.89e-06,2123376,150
2018-12-11,484856375.43538475,287331552.7810344,3672,1669010125.6695478,95.34,63771772.0,360872152.3894238,1512.5,0.15593619,6691,189509007876.853,2493,0.0038136000000000003,2.93e-06,2072228,121
2018-12-12,158000088.86484933,111419827.31826732,2234,1576027390.3671768,90.02,42144081.0,362233230.07260996,1875.0,0.21404476,8541,179836265845.988,4722,54.711781272399996,3.74e-06,1739759,150
2018-12-13,608991293.9948477,302785336.35477656,179093,1553582124.853643,88.73,58473172.0,362605729.4570112,1912.5,1.0592853,8490,179473587788.96,5415,0.0,2.93e-06,49774539,153
2018-12-14,1464724935.027034,155152272.5898297,130199,1372314408.835492,78.37,66921657.0,361053497.6462617,1550.0,0.55366894,7997,206452787968.834,2572,0.0,2.93e-06,36450422,124
2018-12-15,1250688292.9806101,44281793.759739876,4851,1225461084.0158498,69.98,61398931.0,358707089.0758795,1612.5,0.42345742000000003,7042,143759075759.08,2308,0.0,3.11e-06,1909917,129
2018-12-16,897355183.8474084,98493160.18930694,85323,1189544777.3871217,67.92,95335466.0,364982091.4613305,1800.0,1.4206448600000001,6280,146517461053.273,3945,0.0,3.11e-06,25189663,144
2018-12-17,831718497.7919214,82816764.4043583,1958,1375305069.6019583,78.52,106775615.0,367885257.0148522,1912.5,0.5247907,4059,145015160593.896,2765,86.5956822796,4e-06,1009590,153
2018-12-18,937873791.9835957,54579392.357759304,2560,1432062050.2156956,81.75,112996793.99999999,369993709.8909327,1575.0,0.2528359,8184,149982401953.892,2117,78.5016629325,4.49e-06,7669855,126
