date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2016-04-05,,,0.0,9.03,31211.0,,
2016-04-06,,,0.0,9.48,66404.0,,
2016-04-07,,,0.0,9.4,78918.0,,
2016-04-08,,,0.0,9.09,17254.0,,
2016-04-09,,,0.0,8.42,6091.0,,
2016-04-10,,,0.0,8.07,9347.0,,
2016-04-11,,,0.0,7.68,19203.0,,
2016-04-12,,,0.0,7.87,13931.0,,
2016-04-13,,,0.0,6.84,2959.0,,
2016-04-14,,,0.0,7.15,4024.0,,
2016-04-15,,,0.0,6.92,1643.0,,
2016-04-16,,,0.0,7.91,11407.0,,
2016-04-17,,,0.0,7.19,10380.0,,
2016-04-18,,,0.0,6.84,8141.0,,
2016-04-19,,,0.0,8.15,20129.0,,
2016-04-20,,,0.0,8.16,5595.0,,
2016-04-21,,,0.0,7.95,4260.0,,
2016-04-22,,,0.0,8.28,5405.0,,
2016-04-23,,,0.0,7.21,6765.0,,
2016-04-24,,,0.0,7.52,7498.0,,
2016-04-25,,,0.0,7.48,11460.0,,
2016-04-26,,,0.0,7.39,4763.0,,
2016-04-27,,,0.0,6.92,4800.0,,
2016-04-28,,,0.0,5.03,5158.000000000001,,
2016-04-29,,,0.0,6.94,5571.0,,
2016-04-30,,,0.0,5.07,3815.0,,
2016-05-01,,,0.0,5.25,8050.0,,
2016-05-02,,,0.0,6.45,6882.0,,
2016-05-03,,,0.0,7.04,5380.0,,
2016-05-04,,,0.0,5.81,8935.0,,
2016-05-05,,,0.0,6.48,4371.0,,
2016-05-06,,,0.0,6.94,4975.0,,
2016-05-07,,,0.0,5.74,8401.0,,
2016-05-08,,,0.0,6.62,6475.0,,
2016-05-09,,,0.0,5.96,3185.0,,
2016-05-10,,,0.0,6.37,7262.000000000001,,
2016-05-11,,,0.0,7.17,6198.0,,
2016-05-12,,,0.0,5.93,4455.0,,
2016-05-13,,,0.0,6.69,3315.0,,
2016-05-14,,,0.0,6.6,3313.0,,
2016-05-15,,,0.0,6.63049504950495,3294.3168316831684,,
2016-05-16,,,0.0,6.660990099009901,3275.633663366337,,
2016-05-17,,,0.0,6.691485148514851,3256.9504950495048,,
2016-05-18,,,0.0,6.721980198019802,3238.267326732673,,
2016-05-19,,,0.0,6.752475247524752,3219.5841584158416,,
2016-05-20,,,0.0,6.782970297029703,3200.90099009901,,
2016-05-21,,,0.0,6.813465346534653,3182.2178217821784,,
2016-05-22,,,0.0,6.843960396039604,3163.5346534653463,,
2016-05-23,,,0.0,6.874455445544554,3144.8514851485147,,
2016-05-24,,,0.0,6.904950495049505,3126.168316831683,,
2016-05-25,,,0.0,6.935445544554455,3107.4851485148515,,
2016-05-26,,,0.0,6.965940594059406,3088.80198019802,,
2016-05-27,,,0.0,6.996435643564356,3070.1188118811883,,
2016-05-28,,,0.0,7.026930693069307,3051.4356435643563,,
2016-05-29,,,0.0,7.057425742574257,3032.7524752475247,,
2016-05-30,,,0.0,7.087920792079208,3014.069306930693,,
2016-05-31,,,0.0,7.118415841584158,2995.3861386138615,,
2016-06-01,,,0.0,7.148910891089108,2976.70297029703,,
2016-06-02,,,0.0,7.179405940594059,2958.019801980198,,
2016-06-03,,,0.0,7.20990099009901,2939.3366336633662,,
2016-06-04,,,0.0,7.24039603960396,2920.6534653465346,,
2016-06-05,,,0.0,7.27089108910891,2901.970297029703,,
2016-06-06,,,0.0,7.301386138613861,2883.2871287128714,,
2016-06-07,,,0.0,7.331881188118811,2864.60396039604,,
