date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-05-24,2934797.326549685,117,148206639.2466332,0.202426,92658.0,117,809.704
2018-05-25,1912979.2620314634,130,158341242.55085033,0.214404,87792.0,118,1001.4757239000002
2018-05-26,542387.1103721032,107,159793253.31644368,0.216048,56174.0,107,936.135984
2018-05-27,9977953.597977009,412,160666933.5335857,0.215138,106237.0,400,2182.2523029999998
2018-05-28,844883.5456988167,159,149348200.5036825,0.199795,80956.0,151,1598.36
2018-05-29,2070138.895847347,223,139062110.35130605,0.184868,102840.00000000001,179,654.4608756126956
2018-05-30,7384765.874357487,394,155713303.24242514,0.203037,271963.0,312,1094.4125146747408
2018-05-31,3326904.568899517,312,155427396.37359735,0.20199,196702.0,236,928.851015
2018-06-01,2222670.127303343,106,163348553.19107234,0.212163,111960.00000000001,120,1857.0733471499998
2018-06-02,692986.6866193354,97,154243471.96203005,0.200168,147199.0,110,2121.5786303200002
2018-06-03,448629.50495403365,88,156551328.78266335,0.203163,187909.0,102,1098.819736081111
2018-06-04,501659.6309181888,115,154684238.29313487,0.20074,209448.0,111,1792.20672
2018-06-05,3775519.2660553916,99,154444531.68157056,0.199561,203078.0,98,2005.292899281
2018-06-06,861539.5436129058,85,163320636.3691555,0.21103,180486.0,88,1055.1499999999999
2018-06-07,967762.0865009236,97,160173003.7065206,0.206579,94028.0,108,1242.9858430000002
2018-06-08,891670.5410251996,121,158627712.4802772,0.204586,347237.0,92,2779.3820306420002
2018-06-09,465300.0222344173,90,156242630.43696162,0.201356,85038.0,82,1100.5046034402983
2018-06-10,2612790.6425426994,58,149615599.39858487,0.192813,93160.0,60,1928.13
2018-06-11,749946.9485563879,96,116083946.44279411,0.1496,112377.99999999999,94,1496.0
2018-06-12,365909.26700399816,64,122494945.90215866,0.157862,103342.99999999999,70,1578.6200000000001
2018-06-13,1492578.3102240092,118,104013521.90450475,0.133438,76307.0,112,1334.38
2018-06-14,1585288.9809927708,124,97748024.452122,0.125124,178689.0,104,1251.2400000000002
2018-06-15,1516366.1044265134,117,97591850.97052155,0.124371,221090.0,108,2487.42
2018-06-16,445016.3469765848,85,80678785.90919188,0.102817,226457.00000000003,82,1220.46760693
2018-06-17,759924.2927173648,72,82879822.65341175,0.105622,88444.0,74,1022.6322039999999
2018-06-18,590318.501259229,70,86961745.3799437,0.110824,80860.0,66,1252.9353249962294
2018-06-19,670715.7905636287,86,86081330.8602745,0.109702,116001.0,88,2194.04
2018-06-20,1401095.0122657605,101,83337455.82902141,0.105715,61219.0,96,2378.5875
2018-06-21,728159.7129563048,182,80157262.61199103,0.101677,446658.99999999994,169,1271.2300630255
2018-06-22,1067456.6028257778,161,124570395.24627727,0.157995,444119.0,162,947.97
2018-06-23,518750.5443209538,79,124840145.08138388,0.158258,128947.0,82,1076.1687084365394
2018-06-24,397818.3627541351,78,130515055.84162231,0.165452,162467.0,80,1006.6469082173801
2018-06-25,359248.65109167836,75,124352642.3658547,0.15764,149709.0,82,736.65172
2018-06-26,362530.74937564303,72,129774335.81564973,0.164513,130821.0,74,726.6038095266831
2018-06-27,553990.3609101768,89,117319321.53241988,0.148543,379842.0,84,445.629
2018-06-28,403586.7691969997,107,125436100.29236476,0.15882,725683.0,104,555.87
2018-06-29,339796.13104272593,86,119268549.30754174,0.151011,660683.0,96,542.3106816982988
2018-06-30,191912.34718900398,52,120246322.26450299,0.152249,602339.0,60,651.6474797026507
2018-07-01,407371.4501593382,63,115943392.12730595,0.146708,624360.0,60,963.2847280000001
2018-07-02,248862.2240902486,57,108369942.96437462,0.137125,631157.0,63,1645.25838575
2018-07-03,249034.72658735389,70,116218416.67371194,0.147056,575407.0,73,1470.56
2018-07-04,640730.0513311279,87,105595988.54431741,0.133615,615626.0,92,1051.0155900000002
2018-07-05,696478.5473677521,87,97631341.06304312,0.123537,638772.0,100,1248.9590699999999
2018-07-06,180335.05518103932,58,86801854.76771253,0.109834,643850.0,56,1047.324413514
2018-07-07,105288.0685089128,40,88513645.94036908,0.112,524322.0,52,835.296
2018-07-08,1311730.4601809538,146,94376883.81810239,0.119419,538897.0,144,1065.1769689612154
2018-07-09,527603.7444741284,70,92715548.35964169,0.117302,527413.0,65,1171.26047
2018-07-10,137327.438192152,45,86914399.18683706,0.109949,451816.0,50,932.6760639689413
2018-07-11,139502.94251341847,48,86898589.40220702,0.109929,481589.0,47,775.440492799608
2018-07-12,445689.1571568899,47,84575405.2817471,0.10699,613802.0,55,878.24367748
2018-07-13,92724.70929185025,22,76663229.03798923,0.096981,628628.0,27,1228.3873371407544
2018-07-14,260670.94492529615,51,79014958.372756,0.099956,799640.0,57,998.4482893680001
2018-07-15,239694.1099658873,51,80252878.02114215,0.101522,833870.0,48,1015.22
2018-07-16,154379.68197149434,41,79267317.0268884,0.100245,723231.0,41,847.2163891809369
2018-07-17,577529.2087404599,55,87723446.33786519,0.110939,857767.0,55,986.6838401796105
2018-07-18,677497.7218801166,75,88777496.69058166,0.112272,953305.0,67,1809.600096
2018-07-19,305103.3880581958,103,82640330.72969247,0.104511,837754.0,75,1206.6985146967256
2018-07-20,169782.24923836565,67,74017542.518802,0.093606,476622.0,67,1138.810596
2018-07-21,43987.30540283273,21,73417943.53243731,0.092848,698819.0,25,1299.872
2018-07-22,225345.37925803073,25,77386866.8954803,0.097867,373757.0,28,1316.702618
2018-07-23,91258.01346612912,26,76519039.54663785,0.096769,554030.0,34,854.3533730479999
2018-07-24,272433.1053389005,60,75423549.85651152,0.095384,442228.0,61,1397.84280227808
2018-07-25,155445.9375232021,38,78739895.83113763,0.099578,431206.0,33,1990.06633
2018-07-26,551667.8082847577,108,78478535.33998957,0.099248,436580.00000000006,72,2974.46256
2018-07-27,308625.8348988663,42,74335740.79877178,0.093988,444005.00000000006,39,1879.76
2018-07-28,138142.16641234804,44,80983310.99657454,0.102393,485930.0,27,3324.70071
2018-07-29,300954.12864073785,80,81259020.53929561,0.10274,531612.0,37,2770.8977999999997
2018-07-30,99795.60819161739,36,78057774.3526454,0.098692,426063.0,40,873.1301969164055
2018-07-31,115717.1107018775,78,78472608.46217285,0.099217,301354.0,65,66.127634415
2018-08-01,200348.18167770372,33,73470835.60096186,0.092893,349474.0,31,1857.8600000000001
2018-08-02,221264.93247493388,39,72091084.4258695,0.091148,367357.0,39,1073.1274690982311
2018-08-03,52848.845836719025,26,70739789.59388089,0.08944,423645.00000000006,28,647.599669313012
2018-08-04,756937.5795453718,43,69479769.97744387,0.087847,430217.0,28,3402.726894541996
2018-08-05,161786.1043505333,48,66522840.9258699,0.084108,590615.0,28,2115.7312310050615
2018-08-06,495015.94577651133,76,67492824.74870355,0.085335,635470.0,53,1478.6763465000001
2018-08-07,380862.6605716513,62,66728730.51416318,0.084368,850636.0,41,2053.5687281021774
2018-08-08,166860.99292046847,45,64842938.50452541,0.081984,697463.9999999999,38,1229.76
2018-08-09,466361.5140280268,52,61407806.84716465,0.077641,809044.0,48,2748.2951822501486
2018-08-10,211687.55268927457,35,62727487.55913423,0.079309,633622.0,32,1189.635
2018-08-11,216439.47195700931,33,58145342.22957443,0.073516,470440.00000000006,29,1470.32
2018-08-12,100695.92308250605,19,57739123.62230768,0.073003,739804.0,25,949.039
2018-08-13,147785.8889944969,52,57646446.94263767,0.072885,673833.0,55,1028.9904201703646
2018-08-14,391614.3877497803,68,53840118.29041314,0.068073,375413.0,55,754.5570101547704
2018-08-15,342497.5705351685,18,50945207.23408068,0.064413,532319.0,22,1725.2073157597515
2018-08-16,97249.40677828512,36,51536014.7495666,0.06516,619260.0,35,620.0791609764258
2018-08-17,2533334.534019326,438,50647268.51000776,0.064036,663597.0,436,962.1409
2018-08-18,422113.93407114147,39,54740521.72920792,0.069211,491723.0,41,943.7750381999999
2018-08-19,216005.05545751945,29,51315675.69925494,0.064682,430218.0,24,1323.7818120000002
