date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2019-04-08,35495093.99139698,472,106295513.20280044,1.0,89753725.0,247,2446.208
2019-04-09,21915418.85626907,338,110321562.63115416,0.997705,68687118.0,225,2463.8145388099997
2019-04-10,15226443.88734755,347,109961652.79031192,0.998963,104633041.0,187,2578.8229845
2019-04-11,31039477.52396076,345,107118888.00688289,0.999998,119904112.0,210,2698.8946022
2019-04-12,16838568.407917768,195,107529497.31872,0.999928,78170139.0,145,6205.32318456
2019-04-13,4983164.585699721,125,107681009.0,1.0,52335702.0,116,1492.45
2019-04-14,12910658.094046436,151,110032496.37677169,1.0,49637430.0,109,5673.955833
2019-04-15,18260198.966234237,214,108894480.20738499,0.998419,84944553.0,156,6348.709836487408
2019-04-16,18703446.876759406,207,109620504.0,1.0,64506997.0,155,2000.0
2019-04-17,17011004.847177368,200,110231293.0,1.0,77577095.0,143,4388.46959061167
2019-04-18,17259815.196089014,238,108038630.0,1.0,73997682.0,145,6077.91684944205
2019-04-19,5108876.19044173,191,107813093.0,1.0,79888815.0,139,1133.97790105
2019-04-20,18596145.35544391,208,108386473.52187149,1.0,71568847.0,161,5344.3195
2019-04-21,10292355.728688285,190,107254075.07472152,0.998767,70292167.0,130,5493.2185
2019-04-22,26334057.63050603,313,103971279.86657067,0.999178,81558016.0,172,2492.411552236
2019-04-23,26037911.30683802,268,104666595.32358001,0.99999,105330456.0,159,8911.625882850001
2019-04-24,56511869.68563706,336,112522784.77846535,1.0,116268966.0,182,9774.125
2019-04-25,18550121.096766964,392,111430076.49182673,0.999315,156558013.0,200,5330.13635385
2019-04-26,148163956.11297292,588,129838472.56862745,1.01,186716503.0,286,10541.155577000001
2019-04-27,34230520.80091311,348,133568983.0,1.02,91166025.0,185,10047.34884
2019-04-28,21978559.75235479,282,136537036.0,1.02,79060429.0,133,9414.977400000002
2019-04-29,68163188.35159966,346,154909894.0,1.02,100588728.0,222,6426.3893391
2019-04-30,67535642.35253848,556,164370866.07920793,1.02,116891856.0,387,1020.0
2019-05-01,37990449.16574229,830,164487320.0,1.01,109922457.0,586,46.3624204963
2019-05-02,40337338.308665216,655,169187671.53921568,1.01,102730144.0,411,48.613332221
2019-05-03,105267856.5115649,935,180228738.0,1.02,189766147.0,566,249.299524368
2019-05-04,32826263.824148357,855,183493018.15841582,1.02,144971162.0,591,47.491200000000006
2019-05-05,28848620.351213586,771,184241753.0,1.01,102307061.0,571,45.171044787199996
2019-05-06,28683533.378850654,871,181695118.0,1.01,131854551.0,646,45.6165866629
