date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-12-29,12351899.9568,190,92480323.84158416,1.02,45384295.0,108,3982.2432
2018-12-30,6409797.632900001,118,93103251.0,1.01,25242396.0,65,7370.4245
2018-12-31,10361436.7325,99,92068124.59,1.01,19548793.0,67,7219.6921
2019-01-01,3721150.22,94,91962278.21782178,1.0,32191132.0,54,10000.0
2019-01-02,15307743.1736,192,93253979.0,1.01,24263840.0,81,40400.0
2019-01-03,8072342.8365,137,91562811.0,1.01,26717362.0,101,101.0
2019-01-04,3450361.9899000004,133,91585272.88,1.01,27171931.0,107,1010.7474
2019-01-05,1635183.32,211,90288416.0,1.0,25877783.0,119,107.0
2019-01-06,309732.24,340,89833447.52475247,1.0,26096099.0,111,100.0
2019-01-07,14440849.1848,417,86950623.279318,1.01,118527238.0,140,108.07000000000001
2019-01-08,3218980.5997964,390,84638275.98117541,0.994271,120496639.0,125,99.4271
2019-01-09,18624227.33480916,360,90358864.84542431,0.999764,110140061.0,145,99.9764
2019-01-10,19023502.79377296,477,87453561.4512,0.997752,137067175.0,184,106.759464
2019-01-11,1192473.3,380,87186120.0,1.0,141469336.0,173,100.0
2019-01-12,1400745.39,422,86850930.3970098,1.0,143620326.0,145,107.0
2019-01-13,356553.83610821003,247,86100974.99935001,0.989369,155488795.0,129,105.86248300000001
2019-01-14,6990401.62,256,86880761.38613862,1.0,140490714.0,169,300.0
2019-01-15,2663436.5186,777,87478441.18,1.01,150992160.0,151,101.0
2019-01-16,2742721.46,617,85396547.52475247,1.0,137569555.0,146,100.0
2019-01-17,6870314.46,406,87405646.53465347,1.0,145955547.0,132,100.0
2019-01-18,15943423.074000001,280,93510939.89,1.01,126010314.00000001,124,106.61055
2019-01-19,558934.86,129,91889729.7029703,1.0,247399453.0,76,459.67
2019-01-20,539245.8983,110,92891024.0,1.01,138846712.0,84,1215.35825
2019-01-21,6450833.8925,141,91704363.0,1.01,141222393.0,109,848.4
2019-01-22,9399367.262200002,163,93914994.0,1.01,159060131.0,122,302.798
2019-01-23,839362.0958,170,93240035.0,1.01,56557708.0,113,50.5
2019-01-24,312610.6651,213,93848846.0,1.01,32123638.0,116,101.0
2019-01-25,1870902.564,223,94327949.82178219,1.02,35266034.0,91,51.0
2019-01-26,6175142.9034,149,97173568.08,1.02,44626902.0,92,51.0
2019-01-27,134293.42,237,95180355.67068657,1.0,18244961.0,98,50.0
2019-01-28,9610741.0215809,180,92237339.07840593,0.998065,20335861.0,118,2013.4663890499999
2019-01-29,5278047.2435,304,92038772.98,1.01,13296181.0,145,175.1037
2019-01-30,2789326.2617,306,91483965.0,1.01,17931279.0,192,383.8
2019-01-31,4241757.5192,359,90252414.0,1.01,28158979.0,175,1088.6992
2019-02-01,2413322.1385999997,305,90125021.0,1.01,28703574.0,174,628.2099000000001
2019-02-02,1175503.5591,225,89707145.0,1.01,28997238.0,117,1009.9899
2019-02-03,1098826.8942,140,89558229.0,1.01,27421433.0,102,357.02995
2019-02-04,5122525.059900001,103,88718649.47,1.01,16281674.0,89,101.0
2019-02-05,991895.95,104,87268319.43022782,1.0,24244552.0,84,40.56
2019-02-06,3251774.61057725,100,86347053.9576802,0.999683,28959905.0,75,96.81929855
2019-02-07,13774639.974000001,137,84385779.77,1.01,24843959.0,81,13.029
2019-02-08,4435928.5,177,82990127.4509804,1.0,17795641.0,141,100.0
2019-02-09,1495396.9998,156,86269737.74257426,1.02,35712157.0,94,347.2794
2019-02-10,1531832.3166,170,85091058.2745098,1.01,19926525.0,91,5039.9
2019-02-11,5459372.112,152,83836533.8019802,1.02,28426402.0,116,790.7295
2019-02-12,3289915.48,207,81613266.66666667,1.0,21448468.0,126,517.59
2019-02-13,2254295.0232,176,82913318.67326732,1.02,33344549.0,128,710.736
2019-02-14,1594169.4156000002,190,81563367.0,1.01,57300153.0,124,1007.98
2019-02-15,22155861.061,233,78925980.0,1.01,38731876.0,143,479.75
2019-02-16,2152966.6515,188,78937130.0,1.01,40995506.0,121,390.17815
2019-02-17,932975.9759,187,79370846.0,1.01,62583366.0,125,508.3128
2019-02-18,18311196.7881,245,76552522.6923077,1.01,48865720.0,136,2519.647
2019-02-19,6573064.4616,283,80571142.08,1.04,46705664.0,155,718.2448
2019-02-20,3500508.44,411,77037530.69306931,1.0,249473434.0,189,1177.4
2019-02-21,7251101.282000001,372,77580550.0,1.01,6475605.0,162,764.1963
2019-02-22,5634877.0115,378,77403789.0,1.01,4025979.0,252,727.705
2019-02-23,3213528.9281,189,76080084.0,1.01,5570707.0,139,1099.2436
2019-02-24,6986997.6748,318,76441496.17449915,1.01,14004556.0,167,1856.6022
2019-02-25,23095371.253335837,253,74452725.209952,0.985968,6206028.0,145,1061.21707776
