date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2019-04-21,24674852.243979,1593,251875250.0,1.0,46250000.0,1109,310.0
2019-04-22,17740595.446264,1624,252701768.0,1.0,46697245.0,1201,440.666259
2019-04-23,23214808.600108,2066,251760404.5869733,1.0,55954909.0,1413,449.9909235
2019-04-24,42925586.12279759,2571,252003703.73984388,0.999439,56853285.0,1681,489.842179287265
2019-04-25,67907314.41920793,2541,255110084.54450592,0.998737,82371631.0,1618,494.068090882456
2019-04-26,293028547.46627986,3427,264261381.6764706,1.01,113370626.0,2221,727.16830014
2019-04-27,112869857.76990151,1719,298558355.70297027,1.02,48849898.0,1289,357.0
2019-04-28,50486341.417008035,1482,293265917.0588235,1.01,44378359.0,1175,218.01146738
2019-04-29,55251919.319983505,1892,296038711.0,1.02,71768244.0,1441,408.293811
2019-04-30,46229886.70127874,2636,296148387.0,1.02,81415438.0,1962,306.0
2019-05-01,86051642.32922561,3111,300016967.8217822,1.02,90100967.0,2400,93.2395515
2019-05-02,32443775.294162,4129,294722776.7058823,1.01,83209787.0,3103,25.25
2019-05-03,65163033.96052254,4767,300729165.0,1.02,108921203.0,3182,60.21213
2019-05-04,54831328.4928297,2525,304425006.89108914,1.02,117381605.0,1697,339.72712518000003
2019-05-05,18388928.37720006,1781,302262909.0,1.01,79929581.0,1297,147.46
2019-05-06,61503266.0628854,2164,304196575.0,1.01,89601155.0,1594,389.86968893
2019-05-07,34963295.40733378,1855,309665945.0,1.01,100559475.0,1365,399.05477134
2019-05-08,43834200.6885857,1728,315621068.0,1.01,99486108.0,1209,252.9747
2019-05-09,26531681.43595245,1744,328796843.29,1.01,134758323.0,1338,101.0
2019-05-10,40075955.127159,2194,324997586.1386139,1.0,247829264.0,1578,121.128662
2019-05-11,21466231.71126731,2743,330379859.4784814,1.01,510302993.0,1776,282.41469106000005
2019-05-12,26869883.97350318,2741,325604868.62741333,0.995416,481377527.0,1742,248.85399999999998
2019-05-13,56706389.49764067,2641,336638080.8253273,0.998353,268233283.0,1739,195.61524918152702
2019-05-14,73253199.93636015,2607,347109372.37870693,0.998884,235041654.0,1764,249.720963041292
2019-05-15,64779995.66695939,5175,351238823.54934853,0.998905,217410064.0,3624,307.1632875
2019-05-16,115162242.88000228,6081,355361363.6786742,0.997517,289789111.0,3927,498.75849999999997
2019-05-17,107003205.25375576,5294,358221113.8360306,0.999223,293691288.0,3271,506.183256774341
2019-05-18,43307538.469260015,3258,357932480.53779364,0.998729,154811622.0,2387,272.954878845334
2019-05-19,51792410.36216778,3714,357610781.186513,0.997067,184721780.0,2490,347.56758553
2019-05-20,45749025.535925,3755,357843171.8654041,1.0,276118420.0,2690,262.961792
2019-05-21,46622539.9350662,4002,357488250.65284526,0.997358,170890835.0,2751,290.86948712
2019-05-22,64574770.4437609,3772,359254097.769297,0.998889,125174452.0,2687,343.91936860243203
2019-05-23,40340859.893693,3981,359550385.36425847,1.0,129739544.0,2787,328.53
2019-05-24,48822480.505263865,4020,359649409.8678633,0.999716,148518446.0,2736,377.844150777124
2019-05-25,24844239.360668816,2921,361001879.2063496,0.998375,95403891.0,1996,220.48416007625
2019-05-26,28898727.252506617,3586,361333099.1912622,0.997863,132653003.0,2412,249.46575
2019-05-27,64027101.235062905,4609,362330070.98198396,0.997423,157886328.0,3199,249.35575
2019-05-28,49894500.20823478,3722,362123747.0,1.01,106019351.0,2620,243.096467215
