date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2018-03-01,31062848576.486897,1012238254.0376222,3491,8088545977.40695,0.311973,184691008.0,612.930118,7501,259688.92221175117,0.171246,4503
2018-03-02,21625794843.040012,811577232.2179204,3677,7892822521.26807,0.304424,107240000.0,649.4141,7745,250537.43517400892,0.171246,4500
2018-03-03,15254554988.502142,677337276.7096267,2767,7595387167.988826,0.292952,115320000.0,487.013465,5896,253904.1387312614,0.171246,3629
2018-03-04,12567910274.423986,1049192635.8987807,2359,7681802094.436627,0.296285,94436000.0,414.216038,5362,241012.17361907096,0.171246,3075
2018-03-05,14585023606.204836,966072463.9517658,3124,7775450673.476544,0.299897,202675008.0,549.912427,6731,241244.42383174435,0.171246,3953
2018-03-06,12129553090.583448,951678265.1038119,2377,7673038745.015528,0.295947,110305000.0,419.843069,5229,277557.03103880695,0.171246,3159
2018-03-07,11573202871.955215,996602202.2570586,2778,7380762878.671713,0.284674,190792992.0,488.722708,6081,318252.4190145668,0.171246,3630
2018-03-08,12785556930.615103,752212466.4156877,3483,6434061824.3656845,0.24816,167808992.0,612.930393,8287,198106.8237989491,0.171246,5149
2018-03-09,10316697929.274378,688922131.2392728,3348,5737297731.0346575,0.221286,246848992.00000003,592.465133,7572,292378.3510420461,0.171246,4892
2018-03-10,6576744257.336499,643861837.5518113,2094,5839191118.26295,0.225216,129138000.00000001,369.281428,5046,177913.00116143568,0.171246,3072
2018-03-11,5321887447.243433,737340349.6516832,2049,5437451160.204257,0.209721,161362000.0,361.525327,4875,164231.4675836617,0.171246,2888
2018-03-12,6248393126.757773,1054687802.0775255,2217,5810360215.945683,0.224104,184250000.0,390.044635,5141,174416.98604749943,0.171246,3076
2018-03-13,4630655111.093291,951977062.880101,1970,5784588707.925264,0.22311,98868704.0,349.610508,4769,172006.83065371163,0.171246,2618
2018-03-14,4423483470.682517,682081555.0490085,2330,5792885370.636343,0.22343,144156000.0,411.064989,5060,170784.93708438455,0.171246,3046
2018-03-15,4443855328.379861,849171133.6749353,2910,5153134905.270961,0.198755,204232992.0,514.457786,6310,150690.91472445597,0.171246,3792
2018-03-16,2952413828.359867,660586004.4109323,2385,4842865651.969007,0.186788,97455296.0,421.808017,5313,116864.09473110149,0.171246,3101
2018-03-17,2553611869.6295137,657709978.6007483,2185,4634982400.45657,0.17877,81096600.0,385.325077,5015,133565.7373331,0.171246,2852
2018-03-18,3394150272.7353873,670725821.2307998,3563,3990979895.1215143,0.153931,189688992.00000003,626.17554,8432,114007.51682561504,0.171246,4858
2018-03-19,2780874401.8147073,530478330.1923725,2932,4167750662.1613274,0.160749,321964000.0,515.207687,6341,118665.87986929888,0.171246,3977
